Unnamed: 0,Price,Model,CPU,Graphics,RAM,HDD,SSD,Display,Battery,Weight,Thickness,Budget,Rate_From_10,Image_Url,Best_For,Final_Budget,Notes,Brand,Type
14,$1178,Acer Predator Helios 300,Core i7-10750H,NVIDIA RTX 2060 6GB,16GB,-,512GB,"15.6"" 1920x1080 144Hz IPS",3 hrs,5.07 lbs,0.90 in,Medium/Med-High,7,-,gaming,$1178 'Medium/Med-High',gaming,Acer,Top
15,$1186,Asus TUF A15 2060,Ryzen 7 4800H,NVIDIA RTX 2060 6GB,16GB,-,1TB,"15.6"" 1920x1080 144Hz IPS",8.5 hrs,5.07 lbs,0.98 in,Medium/Med-High,8,-,gaming,$1186 'Medium/Med-High',gaming,Asus,Top
16,$1199,Asus TUF FX505,Ryzen 7 R7-3750H,NVIDIA RTX 2060 8GB,16GB,-,512GB,"15.6"" 1920x1080 60Hz IPS",4.5 hrs,4.85 lbs,1.00 in,Medium/Med-High,8,-,gaming,$1199 'Medium/Med-High',gaming,Asus,Top
17,$1199,Lenovo Legion Y540,Core i7-9750H,NVIDIA GTX 1650 4GB,24GB,1TB,512GB,"15.6"" 1920x1080 60Hz IPS",5 hrs,9.38 lbs,1.02 in,Medium/Med-High,8,-,gaming,$1199 'Medium/Med-High',gaming,Lenovo,Top
18,$1199,Lenovo Yoga 910 13,i7-7500U,Intel Graphics 620,8GB,-,256GB,"13.3"" 3200x1800 IPS Touch",10 hrs,2.8 lbs,0.59 in,Medium/Med-High,8,-,convertible,$1199 'Medium/Med-High',convertible,Lenovo,Top
19,$1202,Asus Zenbook UX303UB,i7-6500U,Nvidia GT 940M,12GB,-,512GB,"13.3"" 3200x1800 IPS Touch",7 hrs,3.2 lbs,0.76 in,Medium/Med-High,8,-,ultraportable,$1202 'Medium/Med-High',ultraportable,Asus,Top
20,$1229,Lenovo ThinkPad X1 Carbon,i5-7200U,Intel Graphics 620,8GB,-,128GB,"14"" 1920x1080 IPS",15.5 hrs,2.49 lbs,0.6 in,Medium/Med-High,10,-,programming,$1229 'Medium/Med-High',programming,Lenovo,Top
21,$1246,LG Gram 15 (8th Gen),i5-8250U,Intel UHD Graphics 620,8GB,-,256GB,"15.6"" 1920x1080 IPS",19 hrs,2.4 lbs,0.7 in,Medium/Med-High,7,-,mainstream,$1246 'Medium/Med-High',mainstream,LG,Top
22,$1249,Lenovo Yoga 900s,m7-6Y75,Intel Graphics 515,8GB,-,256GB PCIe,"12.5"" 2560x1440 IPS Touch",10.5 hrs,2.2 lbs,0.5 in,Medium/Med-High,8,-,convertible,$1249 'Medium/Med-High',convertible,Lenovo,Top
23,$1279,Dell Latitude 15 E5590*,i5-8250U,Intel UHD Graphics 620,8GB,-,256GB PCIe,"15.6"" 1920x1080 IPS",7 hrs,4.14 lbs,0.8 in,Medium/Med-High,10,-,programming,$1279 'Medium/Med-High',programming,Dell,Top
24,$1279,HP Elitebook 1040 G4,i5-7200U,Intel Graphics 620,8GB,-,128GB,"14"" 1920x1080 IPS",18 hrs,2.99 lbs,0.63 in,Medium/Med-High,9,-,programming,$1279 'Medium/Med-High',programming,HP,Top
25,$1298,Asus ROG Zephyrus G14,Ryzen 9 4900HS,NVIDIA RTX 2060 6GB,16GB,-,1TB,"14.0"" 1920x1080 120hz IPS",7 hrs,3.64 lbs,0.70 in,Medium/Med-High,8,-,gaming,$1298 'Medium/Med-High',gaming,Asus,Top
26,$1299,Dell XPS 15 9560 (i5),i5-7300HQ,Nvidia GTX 1050,8GB,-,256GB,"15.6"" 3840x2160 IPS Touch",6 hrs,4.5 lbs,0.67 in,Medium/Med-High,10,-,"mainstream,programming",$1299 'Medium/Med-High',"mainstream,programming",Dell,Top
27,$1299,Microsoft Surface Pro,i5-7300U,Intel Graphics 620,8GB,-,256GB,"12.3"" 2736x1824 IPS Touch",13.5 hrs,1.73 lbs,0.33 in,Medium/Med-High,9,-,ultraportable,$1299 'Medium/Med-High',ultraportable,Microsoft,Top
28,$1322,Lenovo ThinkPad 370*,i5-7200U,Intel Graphics 620,8GB,`,128GB,"13.3"" 1920x1080 IPS Touch w/ Pen",12.5 hrs,3.03 lbs,0.7 in,Medium/Med-High,9,-,convertible,$1322 'Medium/Med-High',convertible,Lenovo,Top
29,$1327,Lenovo ThinkPad P40 Yoga,i7-6500U,Nvidia Quadro M500M,8GB,-,256GB,"14.1"" 1920x1080 IPS Touch w/ Pen",8 hrs,3.96 lbs,0.78 in,Medium/Med-High,10,-,convertible,$1327 'Medium/Med-High',convertible,Lenovo,Top
30,$1399,Dell XPS 15 9560 (i7 refurb),i5-7700HQ,Nvidia GTX 1050,16GB,-,512GB PCIe,"15.6"" 3840x2160 IPS Touch",6 hrs,4.3 lbs,0.67 in,High/Extreme-High,10,-,"mainstream,programming",$1399 'High/Extreme-High',"mainstream,programming",Dell,Top
31,$1399,Lenovo Legion Y545 2060,Core i7-9750H,NVIDIA RTX 2060 6GB,16GB,-,512GB,"15.6"" 1920x1080 60hz",4 hrs,5.10 lbs,1.05 in,High/Extreme-High,8,-,gaming,$1399 'High/Extreme-High',gaming,Lenovo,Top
32,$1449,Asus ROG Strix G15,Core i7-10750H,NVIDIA RTX 2070 8GB,16GB,-,1TB,"15.6"" 1920x1080 240Hz IPS",5 hrs,5.28 lbs,1.00 in,High/Extreme-High,8,-,gaming,$1449 'High/Extreme-High',gaming,Asus,Top
33,$1449,Lenovo Legion Y740 1660,Core i7-9750H,NVIDIA GTX 1660 Ti 6GB,16GB,1TB,256GB,"17.3"" 1920x1080 144hz IPS",5 hrs,6.40 lbs,0.91 in,High/Extreme-High,8,-,gaming,$1449 'High/Extreme-High',gaming,Lenovo,Top
34,$1499,Asus Zenbook UX390UA,i7-7500U,Intel Graphics 620,16GB,-,512GB PCIe,"12.5"" 1920x1080 IPS",9 hrs,2 lbs,0.5 in,High/Extreme-High,10,-,ultraportable,$1499 'High/Extreme-High',ultraportable,Asus,Top
35,$1499,Dell Latitude 14 E7490,i5-8250U,Intel UHD Graphics 620,8GB,-,256GB PCIe,"14.1"" 1920x1080 IPS",8 hrs,3.11 lbs,0.70 in,High/Extreme-High,10,-,programming,$1499 'High/Extreme-High',programming,Dell,Top
36,$1499,Razer Blade 15,Core i7-10750H,NVIDIA RTX 2060 6GB,16GB,-,512GB,"15.6"" 1920x1080 144Hz IPS",4.5 hrs,4.56 lbs,0.66 in,High/Extreme-High,8,-,gaming,$1499 'High/Extreme-High',gaming,Razer,Top
37,$1555,Asus Zenbook UX550VE,i5-7700HQ,Nvidia GTX 1050 Ti,16GB,-,512GB PCIE,"15.6"" 1920x1080 IPS Touch",10 hrs,3.97 lbs,0.74 in,High/Extreme-High,10,-,"mainstream,programming",$1555 'High/Extreme-High',"mainstream,programming",Asus,Top
38,$1559,MSI Bravo 15,Ryzen 7 4800H,Radeon RX5500M 4GB,32GB,-,1TB,"15.6"" 1920x1080 144Hz IPS",5 hrs,4.10 lbs,0.85 in,High/Extreme-High,8,-,gaming,$1559 'High/Extreme-High',gaming,MSI,Top
39,$1572,Alienware m15 R3,Core i7-10750H,NVIDIA RTX 2060 6GB,16GB,-,512GB,"15.6"" 1920x1080 300hz",2.5 hrs,4.90 lbs,0.80 in,High/Extreme-High,8,-,gaming,$1572 'High/Extreme-High',gaming,Alienware,Top
40,$1589,Acer Predator Triton 500,Core i7-9750H,NVIDIA RTX 2060 6GB,16GB,-,512GB,"15.6"" 1920x1080 144Hz IPS",4 hrs,4.41 lbs,0.70 in,High/Extreme-High,8,-,gaming,$1589 'High/Extreme-High',gaming,Acer,Top
41,$1599,MSI GS65 Stealth Thin,Core i7-9750H,NVIDIA RTX 2060 6GB,16GB,-,512GB,"15.6"" 1920x1080 240hz",8 hrs,4.19 lbs,0.69 in,High/Extreme-High,10,-,gaming,$1599 'High/Extreme-High',gaming,MSI,Top
42,$1682,Lenovo ThinkPad X1 Yoga,i5-7200U,Intel Graphics 620,8GB,-,256GB PCIe,"14"" 1920x1080 IPS Touch w/ Pen",15 hrs,3.13 lbs,0.69 in,High/Extreme-High,10,-,convertible,$1682 'High/Extreme-High',convertible,Lenovo,Top
43,$1699,Apple Macbook Pro 13,i5-7360U,Intel Iris Graphics 640,16GB,-,256GB PCIe,"13.3"" 2560x1600 IPS",10 hrs,3 lbs,0.59 in,High/Extreme-High,10,-,"mainstream,programming",$1699 'High/Extreme-High',"mainstream,programming",Apple,Top
44,$1699,Apple Macbook Pro 13 /w bar,i5-6267U,Intel Iris Graphics 550,8GB,-,128GB PCIe,"13.3"" 2560x1600 IPS",10 hrs,3.5 lbs,0.71 in,High/Extreme-High,10,-,ultraportable,$1699 'High/Extreme-High',ultraportable,Apple,Top
45,$1699,Asus Zenbook UX490UA,i7-8550U,Intel UHD Graphics 620,16GB,-,512GB PCIe,"14"" 1920x1080 IPS",9 hrs,2.42 lbs,0.51 in,High/Extreme-High,7,-,"mainstream,programming",$1699 'High/Extreme-High',"mainstream,programming",Asus,Top
46,$1699,Microsoft Surface Book,i5-6200U,Intel Graphics 520,8GB,-,256GB,"13.5"" 3000x2000 IPS Touch",12 hrs,3.34 lbs,0.9 in,High/Extreme-High,10,-,convertible,$1699 'High/Extreme-High',convertible,Microsoft,Top
47,$1779,VAIO Z Flip,i5-6267U,Intel Iris Graphics 550,8GB,-,256GB,"13.3"" 2560x1440 IPS Touch w/ Pen",11.5 hrs,2.94 lbs,0.66 in,High/Extreme-High,10,-,convertible,$1779 'High/Extreme-High',convertible,VAIO,Top
48,$181,ASUS T100TA,BayTrail-T Z3775,Intel HD Graphics,2GB,-,32GB,"10.1"" 1366x768 TN Touch",11 hrs,2.4 lbs,0.93 in,Extreme-Low/Low,5,-,convertible,$181 'Extreme-Low/Low',convertible,ASUS,Top
49,$1885,Dell XPS 15 9560 (i7),i5-7700HQ,Nvidia GTX 1050,16GB,-,512GB,"15.6"" 3840x2160 IPS Touch",6 hrs,4.3 lbs,0.67 in,High/Extreme-High,10,-,mainstream,$1885 'High/Extreme-High',mainstream,Dell,Top
50,$1899,Asus ROG Zephyrus M,Core i7-9750H,NVIDIA RTX 2070 8GB,16GB,-,1TB,"15.6"" 1920x1080 240Hz IPS",6 hrs,4.25 lbs,0.78 in,High/Extreme-High,9,-,gaming,$1899 'High/Extreme-High',gaming,Asus,Top
51,$1899,Asus ROG Zephyrus S,Core i7-9750H,NVIDIA RTX 2070 8GB,16GB,-,1TB,"17.3"" 1920x1080 144hz",3 hrs,5.73 lbs,0.74 in,High/Extreme-High,10,-,gaming,$1899 'High/Extreme-High',gaming,Asus,Top
52,$1899,Lenovo Legion 7i,Core i7-10750H,NVIDIA RTX 2070 8GB,16GB,-,512GB,"15.6"" 1920x1080 144Hz IPS",6 hrs,4.96 lbs,0.78 in,High/Extreme-High,10,-,gaming,$1899 'High/Extreme-High',gaming,Lenovo,Top
53,$1899,Lenovo Legion Y740 2080,Core i7-8750H,NVIDIA RTX 2080 8GB,16GB,-,512GB,"17.3"" 1920x1080 144hz",6 hrs,6.17 lbs,0.91 in,High/Extreme-High,10,-,gaming,$1899 'High/Extreme-High',gaming,Lenovo,Top
54,$1899,Razer Blade Stealth 13,Core i7-1065G7,NVIDIA GTX 1650 Ti 4GB,16GB,-,512GB,"13.3"" 3840x2160 4K Touch",7 hrs,6.14 lbs,0.60 in,High/Extreme-High,8,-,gaming,$1899 'High/Extreme-High',gaming,Razer,Top
55,$199,HP Stream 11,Celeron N3060,Intel HD Graphics,4GB,-,32GB,"11.6"" 1366x768 TN",10.5 hrs,2.57 lbs,0.71 in,Extreme-Low/Low,4,-,ultraportable,$199 'Extreme-Low/Low',ultraportable,HP,Top
56,$1993,Apple Macbook Pro 15 w/ bar,i7-6700HQ,AMD Radeon Pro 450,16GB,-,256GB PCIe,"15.4"" 2880x1800 IPS",10 hrs,4 lbs,0.63 in,High/Extreme-High,10,-,"mainstream,programming",$1993 'High/Extreme-High',"mainstream,programming",Apple,Top
57,$1999,HP OMEN X 2S,Core i7-9750H,NVIDIA RTX 2070 8 GB,16GB,-,512GB,"15.6"" 1920x1080 144Hz IPS",2.5 hrs,5.25 lbs,0.78 in,High/Extreme-High,9,-,gaming,$1999 'High/Extreme-High',gaming,HP,Top
58,$202,Dell Inspiron 11,Celeron N3060,Intel HD Graphics,2GB,-,32GB,"11.6"" 1366x768 TN",9.5 hrs,2.6 lbs,0.88 in,Extreme-Low/Low,5,-,ultraportable,$202 'Extreme-Low/Low',ultraportable,Dell,Top
59,$219,HP Stream 13,Celeron N3050,Intel HD Graphics,2GB,-,32GB,"13.3"" 1366x768 TN",8 hrs,3.4 lbs,0.77 in,Extreme-Low/Low,4,-,ultraportable,$219 'Extreme-Low/Low',ultraportable,HP,Top
60,$2199,Gigabyte AERO 15 ,Core i7-9750H,NVIDIA RTX 2060 6GB,16GB,-,512GB,"15.6"" 3840x2160 AMOLED",3 hrs,8.65 lbs,0.80 in,High/Extreme-High,9,-,gaming,$2199 'High/Extreme-High',gaming,Gigabyte,Top
61,$2299,Razer Blade 15 Advanced,Core i7-10875H,NVIDIA RTX 2070 8 GB,16GB,-,512GB,"15.6"" 1920x1080 144hz",5 hrs,8.68 lbs,0.70 in,High/Extreme-High,10,-,gaming,$2299 'High/Extreme-High',gaming,Razer,Top
62,$249,Lenovo IdeaPad 100s,Celeron N3050,Intel HD Graphics,2GB,-,64GB,"14"" 1366x738 TN",7 hrs,3.3 lbs,0.73 in,Extreme-Low/Low,4,-,ultraportable,$249 'Extreme-Low/Low',ultraportable,Lenovo,Top
63,$249,Lenovo IdeaPad 120s,Celeron N3350,Intel HD Graphics 500,4GB,-,64GB,"14"" 1366x738 TN",8 hrs,3.17 lbs,0.73 in,Extreme-Low/Low,4,-,"mainstream,programming",$249 'Extreme-Low/Low',"mainstream,programming",Lenovo,Top
64,$2519,Alienware Area 51M,Core i7-10700K,NVIDIA RTX 2070 8GB,16GB,-,1TB,"17.3"" 1920x1080 300hz",2.5 hrs,10.40 lbs,1.70 in,High/Extreme-High,9,-,gaming,$2519 'High/Extreme-High',gaming,Alienware,Top
65,$258,Asus Vivobook E403NA,Celeron N3350,Intel HD Graphics 500,4GB,-,64GB,"14"" 1920x1080 TN",12 hrs,3.3 lbs,0.7 in,Extreme-Low/Low,4,-,"mainstream,programming",$258 'Extreme-Low/Low',"mainstream,programming",Asus,Top
66,$259,HP Pavilion x2 10t,Atom x5-Z8350,Intel HD Graphics,2GB,-,32GB,"10.1"" 1280x800 IPS Touch w/ Pen",9.5 hrs,2.4 lbs,0.92 in,Extreme-Low/Low,5,-,convertible,$259 'Extreme-Low/Low',convertible,HP,Top
67,$2649,MSI GE66 Raider 10SGS,Core i7-10875H,NVIDIA RTX 2080 8GB,32GB,-,1TB,"15.6"" 1920x1080 300hz",5 hrs,5.25 lbs,0.92 in,High/Extreme-High,7,-,gaming,$2649 'High/Extreme-High',gaming,MSI,Top
68,$3125,Asus ROG Zephyrus Duo i7,Core i7-10875H,NVIDIA RTX 2070S 8GB,32GB,-,2TB,"15.6"" 1920x1080 300hz IPS",3 hrs,5.51 lbs,0.82 in,High/Extreme-High,10,-,gaming,$3125 'High/Extreme-High',gaming,Asus,Top
69,$316,Dell Inspiron 11 2 in 1,Pentium N3710,Intel HD Graphics,4GB,500GB 5400RPM,-,"11"" 1366x768 TN Touch",7.5 hrs,3.07 lbs,0.82 in,Extreme-Low/Low,5,-,convertible,$316 'Extreme-Low/Low',convertible,Dell,Top
70,$329,Lenovo ThinkPad T440 (refurb),i5-4300U,Intel HD 4400,8GB,640GB 5400RPM,-,"14"" 1600x900 TN",8 hrs,4 lbs,0.9 in,Extreme-Low/Low,9,-,programming,$329 'Extreme-Low/Low',programming,Lenovo,Top
71,$349,Acer Aspire E15-575,i3 7100U,Intel Graphics 620,4GB,1TB 5400RPM,-,"15.6"" 1920x1080 TN",12 hrs,5.3 lbs,1.2 in,Extreme-Low/Low,5,-,"mainstream,programming",$349 'Extreme-Low/Low',"mainstream,programming",Acer,Top
72,$369,Microsoft Surface 3,Atom x7-Z8700,Intel HD Graphics,2GB,-,64GB,"10.8"" 1920x1080 IPS",10 hrs,1.3 lbs,0.34 in,Extreme-Low/Low,8,-,"convertible,ultraportable",$369 'Extreme-Low/Low',"convertible,ultraportable",Microsoft,Top
73,$377,Asus T102HA,Atom x5-Z8350,Intel HD Graphics,4GB,-,128GB,"10.1"" 1280x800 Touch w/ Pen",11 hrs,21.7 lbs,0.6 in,Extreme-Low/Low,5,-,convertible,$377 'Extreme-Low/Low',convertible,Asus,Top
74,$427,Asus T300CHI,M-5Y70,Intel HD 5300,4GB,-,128GB,"12.5"" 1920x1080 IPS Touch",8 hrs,1.2 lbs,0.28 in,Extreme-Low/Low,7,-,convertible,$427 'Extreme-Low/Low',convertible,Asus,Top
75,$444,Asus F441,AMD A9-9420,AMD Radeon R5,8GB,1TB 5400RPM,-,"14"" 1920x1080 TN",6 hrs,3.9 lbs,1.1 in,Extreme-Low/Low,5,-,mainstream,$444 'Extreme-Low/Low',mainstream,Asus,Top
76,$469,Lenovo ThinkPad T440s (refurb),i7-4600U,Intel HD 4400,12GB,-,240GB,"14"" 1600x900 TN",8 hrs,4 lbs,0.83 in,Extreme-Low/Low,9,-,programming,$469 'Extreme-Low/Low',programming,Lenovo,Top
77,$4999,Asus ROG Zephyrus Duo i9,Core i9-10980HK,NVIDIA RTX 2080S 8GB,32GB,-,1TB,"15.6"" 3840x2160 IPS",3 hrs,5.51 lbs,0.82 in,High/Extreme-High,10,-,gaming,$4999 'High/Extreme-High',gaming,Asus,Top
78,$505,HP Pavilion x360 13,i5-7200U,Intel Graphics 620,8GB,500GB 5400RPM,-,"13.3"" 1920x1080 IPS Touch",11 hrs,3.66 lbs,0.78 in,Extreme-Low/Low,7,-,"convertible,ultraportable",$505 'Extreme-Low/Low',"convertible,ultraportable",HP,Top
79,$509,Asus Q504UA,i5-7200U,Intel Graphics 620,6GB,1TB 5400RPM,-,"13.3"" 1920x1080 IPS Touch",6 hrs,3.31 lbs,0.8 in,Extreme-Low/Low,8,-,"convertible,ultraportable",$509 'Extreme-Low/Low',"convertible,ultraportable",Asus,Top
80,$533,Dell Inspiron 13 2 in 1,i5-7200U,Intel Graphics 620,8GB,1TB 5400RPM,-,"13.3"" 1920x1080 IPS Touch",8 hrs,3.4 lbs,0.8 in,Extreme-Low/Low,7,-,"convertible,ultraportable",$533 'Extreme-Low/Low',"convertible,ultraportable",Dell,Top
81,$575,Acer Aspire V13,i5-6200U,HD Graphics 520,6GB,-,256GB,"13.3"" 1920x1080 IPS Touch",8 hrs,3.5 lbs,0.81 in,Extreme-Low/Low,6,-,ultraportable,$575 'Extreme-Low/Low',ultraportable,Acer,Top
82,$579,Acer Aspire E15-575G,i5-7200U,Nvidia 940MX,8GB,-,256GB,"15.6"" 1920x1080 TN",12 hrs,5.3 lbs,1.19 in,Extreme-Low/Low,6,-,mainstream,$579 'Extreme-Low/Low',mainstream,Acer,Top
83,$599,Acer Aspire E5-576G,i5-8250U,Nvidia MX150,8GB,-,256GB,"15.6"" 1920x1080 TN",15 hrs,5.27 lbs,1.19 in,Extreme-Low/Low,6,-,programming,$599 'Extreme-Low/Low',programming,Acer,Top
84,$599,Asus Vivobook F510UA,i5-8250U,Intel UHD Graphics 620,8GB,1TB 5400RPM,128GB,"15.6"" 1920x1080 IPS",5 hrs,3.7 lbs,0.8 in,Extreme-Low/Low,6,-,"mainstream,programming",$599 'Extreme-Low/Low',"mainstream,programming",Asus,Top
85,$599,Dell Inspiron 13 i5379,i5-8250U,Intel UHD Graphics 620,8GB,1TB 5400RPM,-,"13.3"" 1920x1080 IPS Touch",8 hrs,3.44 lbs,0.77 in,Extreme-Low/Low,7,-,"convertible,programming",$599 'Extreme-Low/Low',"convertible,programming",Dell,Top
86,$619,HP Envy 13,i5-7200U,Intel Graphics 620,8GB,-,256GB PCIe,"13.3"" 1920x1080 IPS",14 hrs,3.3 lbs,0.55 in,Extreme-Low/Low,8,-,ultraportable,$619 'Extreme-Low/Low',ultraportable,HP,Top
87,$649,Asus Vivobook S410UA,i5-8250U,Intel UHD Graphics 620,8GB,1TB FireCuda,-,"14"" 1920x1080",8 hrs,3.2 lbs,0.7 in,Extreme-Low/Low,7,-,mainstream,$649 'Extreme-Low/Low',mainstream,Asus,Top
88,$689,Acer Nitro 5,Core i5-9300H,NVIDIA GTX 1650 8GB,8GB,-,256GB,"15.6"" 1920x1080 60hz IPS",8 hrs,5.07 lbs,0.96 in,Extreme-Low/Low,8,-,gaming,$689 'Extreme-Low/Low',gaming,Acer,Top
89,$689,Lenovo ThinkPad E470*,i3-7100U,Intel Graphics 620,4GB,500GB 7200RPM,-,"14"" 1920x1080 IPS",8 hrs,4.1 lbs,0.88 in,Extreme-Low/Low,6,-,programming,$689 'Extreme-Low/Low',programming,Lenovo,Top
90,$699,Acer Swift 3 14,i5-8250U,Nvidia MX150,8GB,-,256GB,"14"" 1920x1080 IPS",10 hrs,3.75 lbs,0.71 in,Extreme-Low/Low,8,-,mainstream,$699 'Extreme-Low/Low',mainstream,Acer,Top
91,$699,Lenovo Yoga 710 11,i5-7Y54,Intel Graphics 615,8GB,-,128GB,"11"" 1920x1080 IPS Touch",8 hrs,2.3 lbs,0.59 in,Extreme-Low/Low,7,-,convertible,$699 'Extreme-Low/Low',convertible,Lenovo,Top
92,$718,Asus TUF FX505DT,Ryzen 5 R5-3550H,NVIDIA GTX 1650 4GB,8GB,-,256GB,"15.6"" 1920x1080 120hz IPS",4 hrs,4.85 lbs,1.00 in,Medium/Med-High,8,-,gaming,$718 'Medium/Med-High',gaming,Asus,Top
93,$719,Dell Inspiron 13-i5378,i7-7500U,Intel Graphics 620,8GB,-,256GB,"13.3"" 1920x1080 IPS Touch",8 hrs,3.44 lbs,0.76 in,Medium/Med-High,7,-,mainstream,$719 'Medium/Med-High',mainstream,Dell,Top
94,$729,Toshiba Satellite Radius 12,i7-6500U,Intel Graphics 520,8GB,-,256GB,"12.5"" 3840x2160 IPS Touch",4 hrs,2.9 lbs,0.6 in,Medium/Med-High,8,-,"convertible,ultraportable",$729 'Medium/Med-High',"convertible,ultraportable",Toshiba,Top
95,$737,Lenovo Ideapad L340 G,Core i5-9300H,NVIDIA GTX 1650 4GB,8GB,-,512GB,"15.6"" 1920x1080 60hz IPS",6.5 hrs,4.84 lbs,0.94 in,Medium/Med-High,7,-,gaming,$737 'Medium/Med-High',gaming,Lenovo,Top
96,$749,Asus Zenbook UX330UA,i5-8250U,Intel UHD Graphics 620,8GB,-,256GB PCIe,"13.3"" 1920x1080 IPS",8 hrs,2.6 lbs,0.5 in,Medium/Med-High,9,-,"mainstream,programming,ultraportable",$749 'Medium/Med-High',"mainstream,programming,ultraportable",Asus,Top
97,$749,Dell Inspiron 15-i5557,i5-7300HQ,Nvidia GTX 1050,8GB,-,256GB,"15.6"" 1920x1080 IPS",7 hrs,5.7 lbs,1 in,Medium/Med-High,8,-,mainstream,$749 'Medium/Med-High',mainstream,Dell,Top
98,$757,Acer Nitro 5 SSD+HDD,Core i5-9300H,NVIDIA GTX 1650 8GB,8GB,1TB,128GB,"15.6"" 1920x1080 60hz IPS",7 hrs,5.5 lbs,1.02 in,Medium/Med-High,8,-,gaming,$757 'Medium/Med-High',gaming,Acer,Top
99,$779,Lenovo Yoga 720 13,i5-7200U,Intel Graphics 620,8GB,-,256GB PCIe,"13.3"" 1920x1080 IPS Touch",10.5 hrs,2.9 lbs,0.6 in,Medium/Med-High,8,-,convertible,$779 'Medium/Med-High',convertible,Lenovo,Top
